nsbpid,nsbsid,nsinconset,nsgpslat,nsgpslong,nsmalename,nsfemalename,nseggs,nschicks,nsfledglings,nsoffspring,nschickid1,nschickid2,nschickid3,nspredationtype,nsnestnomale,nsnestnofemale,m_bicohort,m_biageclass,f_bicohort,f_biageclass,m_bibandcombo,f_bibandcombo
DarLiz,2014/2015,0,-41.29774597,174.746706,Darcy,Lizzie,2,2,1,1,B100090,,,None,1,1,2007/2008,A,2012/2013,A,RY-FPM,FPR-YM
DarLiz,2014/2015,74,-41.29782099,174.746844,Darcy,Lizzie,2,2,2,2,BP10113,BP10114,,None,2,2,2007/2008,A,2012/2013,A,RY-FPM,FPR-YM
DarLiz,2015/2016,14,-41.29765604,174.746691,Darcy,Lizzie,2,2,0,0,,,,C,1,1,2007/2008,A,2012/2013,A,RY-FPM,FPR-YM
DonApr,2015/2016,77,-41.30119496,174.745011,Donatello,April,2,2,0,0,,,,C,3,2,2013/2014,J,2013/2014,A,YM-FPG,YM-RG
DonBum,2014/2015,69,-41.30126,174.745402,Donatello,Bumps,2,0,0,0,,,,E,1,1,2013/2014,J,2013/2014,J,YM-FPG,BPB-YM
DonFlo,2016/2017,32,-41.301519,174.745162,Donatello,Florence,2,2,2,2,BP13849,BP13850,,None,1,1,2013/2014,J,2015/2016,A,YM-FPG,PBM-PBB
DonFlo,2017/2018,16,-41.30150903,174.745382,Donatello,Florence,2,2,2,2,BP11380,BP11381,,None,1,1,2013/2014,J,2015/2016,A,YM-FPG,PBM-PBB
DonFlo,2018/2019,5,-41.30172604,174.744781,Donatello,Florence,2,2,2,1,BP17520,BP17521,,None,1,1,2013/2014,J,2015/2016,A,YM-FPG,PBM-PBB
DonQue,2015/2016,3,-41.30136101,174.745547,Donatello,Queen,2,2,1,1,BP11307,,,None,1,1,2013/2014,J,2012/2013,A+,YM-FPG,YM-RFP
DonQue,2015/2016,60,-41.30113897,174.745451,Donatello,Queen,3,2,0,0,,,,C,2,2,2013/2014,J,2012/2013,A+,YM-FPG,YM-RFP
DonQue,2015/2016,92,-41.301259,174.745424,Donatello,Queen,2,2,2,2,BP13806,BP13807,,None,4,3,2013/2014,J,2012/2013,A+,YM-FPG,YM-RFP
DraMrs,2017/2018,81,-41.29952,174.74547,Draco,Mrs Draco,2,2,1,1,BP17446,,,None,2,1,2014/2015,P,2016/2017,A,GW-GM,RM-GG
DraPan,2015/2016,57,-41.29919101,174.745461,Draco,Pansy,2,0,0,0,,,,E,1,1,2014/2015,P,2014/2015,A,GW-GM,BG-GM
DraPan,2015/2016,77,-41.29935002,174.745894,Draco,Pansy,2,1,1,1,BP13804,,,None,2,2,2014/2015,P,2014/2015,A,GW-GM,BG-GM
DraPan,2016/2017,2,-41.29946804,174.745272,Draco,Pansy,2,0,0,0,,,,E,1,1,2014/2015,P,2014/2015,A,GW-GM,BG-GM
